product_code,division,category,product,variant
PROD262829SA,Fresh Food,Dairy & Eggs,Amasi,kg
PROD138205SA,Fresh Food,Bakery,Sourdough Loaf,g
PROD617457SA,Fresh Food,Fruits & Vegetables,Butternut Squash,L
PROD278258SA,Fresh Food,Bakery,Croissant,g
PROD551640SA,Fresh Food,Dairy & Eggs,Gouda Slices,g
PROD499380SA,Household & Cleaning,Cleaning Supplies,Dishwashing Liquid,ml
PROD622503SA,Fresh Food,Fruits & Vegetables,Gem Squash,g
PROD232311SA,Fresh Food,Meat & Poultry,Turkey Rashers,Pack
PROD316282SA,Fresh Food,Bakery,Muffin Pack,ml
PROD63780SA,Household & Cleaning,Cleaning Supplies,All-Purpose Cleaner,ml
PROD719425SA,Fresh Food,Meat & Poultry,Chicken Drumsticks,g
PROD77060SA,Fresh Food,Meat & Poultry,Stewing Beef,g
PROD155539SA,Fresh Food,Fruits & Vegetables,Broccoli Head,g
PROD654644SA,Fresh Food,Dairy & Eggs,Butter Block,Each
